CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,AnnualIncome
11000,MR.,JON,YANG,4/8/1966,M,M,"$90,000 "
11001,MR.,EUGENE,HUANG,5/14/1965,S,M,"$60,000 "
11002,MR.,RUBEN,TORRES,8/12/1965,M,M,"$60,000 "
11003,MS.,CHRISTY,ZHU,2/15/1968,S,F,"$70,000 "
11004,MRS.,ELIZABETH,JOHNSON,8/8/1968,S,F,"$80,000 "
11005,MR.,JULIO,RUIZ,8/5/1965,S,M,"$70,000 "
11007,MR.,MARCO,MEHTA,5/9/1964,M,M,"$60,000 "
11008,MRS.,ROBIN,VERHOFF,7/7/1964,S,F,"$60,000 "
11009,MR.,SHANNON,CARLSON,4/1/1964,S,M,"$70,000 "
11010,MS.,JACQUELYN,SUAREZ,2/6/1964,S,F,"$70,000 "
11011,MR.,CURTIS,LU,11/4/1963,M,M,"$60,000 "
11012,MRS.,LAUREN,WALKER,1/18/1968,M,F,"$100,000 "
11013,MR.,IAN,JENKINS,8/6/1968,M,M,"$100,000 "
11014,MRS.,SYDNEY,BENNETT,5/9/1968,S,F,"$100,000 "
11015,MS.,CHLOE,YOUNG,2/27/1979,S,F,"$30,000 "
11016,MR.,WYATT,HILL,4/28/1979,M,M,"$30,000 "
11017,MRS.,SHANNON,WANG,6/26/1944,S,F,"$20,000 "
11018,MR.,CLARENCE,RAI,10/9/1944,S,M,"$30,000 "
11019,MR.,LUKE,LAL,3/7/1978,S,M,"$40,000 "
11020,MR.,JORDAN,KING,9/20/1978,S,M,"$40,000 "
11021,MS.,DESTINY,WILSON,9/3/1978,S,F,"$40,000 "
11022,MR.,ETHAN,ZHANG,10/12/1978,M,M,"$40,000 "
11023,MR.,SETH,EDWARDS,10/11/1978,M,M,"$40,000 "
11024,MR.,RUSSELL,XIE,9/17/1978,M,M,"$60,000 "
11025,,ALEJANDRO,BECK,12/23/1945,M,NA,"$10,000 "
